"points	Destinations	Distance from HU	Distance from HU on followed route	Order followed by route	Departure time"
"1	Gulshan-e-Hadeed	27	41.8	4	6:48"
"1	Bhains-Colony	40	29	3	6:48"
"1	Baraf-Khana	20	8	2	6:48"
"1	Malir-Halt(SOS)	18	5.8	1	6:48"
"2	Gulshan-e-Maymar	18	83.4	8	6:48"
"2	Gulistan-Society-Scheme-33	12	75.4	7	6:48"
"2	Jeevani 	17	55.6	6	6:48"
"2	Kaneez-Fatima	9.2	22.4	5	6:48"
"2	New-Rizvia	7.5	8.2	4	6:48"
"2	Kiran-Hospital	13	7.1	3	6:48"
"2	Suparco	6.2	5.4	2	6:48"
"2	Gulshan-e-Noor	5.3	5.3	1	6:48"
"3	Agra-Taj-Lyari	21	32.8	4	6:48"
"3	Lee-Market	19	30.1	3	6:48"
"3	Nishter-Road	15	25.3	2	6:48"
"3	Pakistan-Chowk	18	18.4	1	6:48"
"4	Civil-Hospital	18	22.9	5	6:51"
"4	Jubilee-Cinema	17	20.9	4	6:51"
"4	Bohra-Peer	18	18.8	3	6:51"
"4	Tibbet-Center	16	16.8	2	6:51"
"4	Tahiri-Masjid	15	15.3	1	6:51"
"5	PSO-Numaish	15	20.5	3	6:51"
"5	Islamia-College	13	14.8	2	6:51"
"5	Dawood-University	12	8.8	1	6:51"
"6	Baldia	25	61.6	4	6:51"
"6	Aga-Khan-Dispensary-Metroville	14	45.1	3	6:51"
"6	Sonachandi -Lawn-Nazimbad	14	23.7	2	6:51"
"6	Continental -Bakery	6	5.2	1	6:51"
"7	Orangi-1	22	22.9	5	6:54"
"7	Asghar-Ali-shah	15	19.3	4	6:54"
"7	Ship-Honors-College	15	17.5	3	6:54"
"7	Qalandria	5	15.6	2	6:54"
"7	Anda-More	14	14.1	1	6:54"
"8	Royal-Rodale-Club	21	31.7	5	6:54"
"8	Mubarak-Masjid	19	26.8	4	6:54"
"8	Sea-View-Mini-Mart	12	21.7	3	6:54"
"8	Iqra-University	17	13.9	2	6:54"
"8	PAF-Chapter-City-School	11	11.2	1	6:54"
"9	Zulfiqar-Avenue	21	31.6	5	6:54"
"9	Creek-Vistas-Apartments	23	28	4	6:54"
"9	Khayaban-e-Qasim	21	26.2	3	6:54"
"9	Salt-and-Pepper	22	23.8	2	6:54"
"9	Khayaban-e-Bukhari	 21	21.4	1	6:54"
"10	Khayaban-e-Shahbaz	19	18.6	1	6:57"
"11	Khayaban-e-Shahbaz	19	22.3	2	6:57"
